	SP
120m_AUC_EGF=0.001+I=100_28	0.8461538461538461
120m_AUC_EGF=0.001+I=100_29	0.6923076923076923
120m_AUC_EGF=0.001+I=100_3	0.9230769230769231
120m_AUC_EGF=0.001+I=100_30	0.46153846153846156
120m_AUC_EGF=0.001+I=100_31	1.0
120m_AUC_EGF=0.001+I=100_32	0.9230769230769231
120m_AUC_EGF=0.001+I=100_33	0.8461538461538461
120m_AUC_EGF=0.001+I=100_34	0.7692307692307693
120m_AUC_EGF=0.001+I=100_35	0.9230769230769231
120m_AUC_EGF=0.001+I=100_36	0.7692307692307693
120m_AUC_EGF=0.001+I=100_37	0.6923076923076923
120m_AUC_EGF=0.001+I=100_38	0.6923076923076923
120m_AUC_EGF=0.001+I=100_39	0.9230769230769231
120m_AUC_EGF=0.001+I=100_4	0.9230769230769231
120m_AUC_EGF=0.001+I=100_40	0.9230769230769231
120m_AUC_EGF=0.001+I=100_41	0.9230769230769231
120m_AUC_EGF=0.001+I=100_42	0.6923076923076923
120m_AUC_EGF=0.001+I=100_43	0.8461538461538461
120m_AUC_EGF=0.001+I=100_44	0.9230769230769231
120m_AUC_EGF=0.001+I=100_45	0.9230769230769231
120m_AUC_EGF=0.001+I=100_46	0.9230769230769231
120m_AUC_EGF=0.001+I=100_47	0.9230769230769231
120m_AUC_EGF=0.001+I=100_48	0.6153846153846154
120m_AUC_EGF=0.001+I=100_49	0.8461538461538461
120m_AUC_EGF=0.001+I=100_5	0.9230769230769231
120m_AUC_EGF=0.001+I=100_50	1.0
120m_AUC_EGF=0.001+I=100_51	0.9230769230769231
120m_AUC_EGF=0.001+I=100_52	0.9230769230769231
120m_AUC_EGF=0.001+I=100_53	0.8461538461538461
120m_AUC_EGF=0.001+I=100_54	0.8461538461538461
120m_AUC_EGF=0.001+I=100_55	0.9230769230769231
120m_AUC_EGF=0.001+I=100_56	0.9230769230769231
120m_AUC_EGF=0.001+I=100_57	0.9230769230769231
120m_AUC_EGF=0.001+I=100_58	0.8461538461538461
120m_AUC_EGF=0.001+I=100_59	0.9230769230769231
120m_AUC_EGF=0.001+I=100_6	0.9230769230769231
120m_AUC_EGF=0.001+I=100_60	0.9230769230769231
120m_AUC_EGF=0.001+I=100_61	0.6923076923076923
120m_AUC_EGF=0.001+I=100_62	0.6153846153846154
120m_AUC_EGF=0.001+I=100_63	0.6923076923076923
120m_AUC_EGF=0.001+I=100_64	0.6923076923076923
120m_AUC_EGF=0.001+I=100_65	0.6923076923076923
120m_AUC_EGF=0.001+I=100_66	1.0
120m_AUC_EGF=0.001+I=100_7	0.9230769230769231
120m_AUC_EGF=0.001+I=100_8	0.5384615384615384
120m_AUC_EGF=0.001+I=100_9	0.6923076923076923
120m_AUC_EGF=0.001+I=10_1	0.9230769230769231
120m_AUC_EGF=0.001+I=10_10	0.9230769230769231
120m_AUC_EGF=0.001+I=10_11	0.9230769230769231
120m_AUC_EGF=0.001+I=10_12	0.7692307692307693
120m_AUC_EGF=0.001+I=10_13	0.9230769230769231
120m_AUC_EGF=0.001+I=10_14	0.46153846153846156
120m_AUC_EGF=0.001+I=10_15	0.9230769230769231
120m_AUC_EGF=0.001+I=10_16	0.9230769230769231
120m_AUC_EGF=0.001+I=10_17	0.9230769230769231
120m_AUC_EGF=0.001+I=10_18	0.7692307692307693
120m_AUC_EGF=0.001+I=10_19	0.9230769230769231
120m_AUC_EGF=0.001+I=10_2	0.9230769230769231
120m_AUC_EGF=0.001+I=10_20	1.0
120m_AUC_EGF=0.001+I=10_21	0.9230769230769231
120m_AUC_EGF=0.001+I=10_22	1.0
120m_AUC_EGF=0.001+I=10_23	0.9230769230769231
120m_AUC_EGF=0.001+I=10_24	0.8461538461538461
120m_AUC_EGF=0.001+I=10_25	0.8461538461538461
120m_AUC_EGF=0.001+I=10_26	0.6923076923076923
120m_AUC_EGF=0.001+I=10_27	0.7692307692307693
120m_AUC_EGF=0.001+I=10_28	0.8461538461538461
120m_AUC_EGF=0.001+I=10_29	0.6923076923076923
120m_AUC_EGF=0.001+I=10_3	0.9230769230769231
120m_AUC_EGF=0.001+I=10_30	0.46153846153846156
120m_AUC_EGF=0.001+I=10_31	1.0
120m_AUC_EGF=0.001+I=10_32	0.9230769230769231
120m_AUC_EGF=0.001+I=10_33	0.8461538461538461
120m_AUC_EGF=0.001+I=10_34	0.7692307692307693
120m_AUC_EGF=0.001+I=10_35	0.9230769230769231
120m_AUC_EGF=0.001+I=10_36	0.7692307692307693
120m_AUC_EGF=0.001+I=10_37	0.6923076923076923
120m_AUC_EGF=0.001+I=10_38	0.6923076923076923
120m_AUC_EGF=0.001+I=10_39	0.9230769230769231
120m_AUC_EGF=0.001+I=10_4	0.9230769230769231
120m_AUC_EGF=0.001+I=10_40	0.9230769230769231
120m_AUC_EGF=0.001+I=10_41	0.9230769230769231
120m_AUC_EGF=0.001+I=10_42	0.6923076923076923
120m_AUC_EGF=0.001+I=10_43	0.8461538461538461
