,KORKUT_2015A
171,0.644375253824286
172,0.6447813726817382
173,0.6530391227832679
174,0.6209557330445377
175,0.5886015974008393
176,0.6168945444700149
177,0.6384188439149858
178,0.6043048598889942
179,0.6347637741979153
180,0.6583186679301476
181,0.6312440774333288
182,0.6572356843102748
183,0.6412616759171518
184,0.6446459997292541
185,0.6454582374441586
186,0.6066062000812238
187,0.5975362122647895
188,0.6087721673209693
189,0.6436983890618655
190,0.6497901719236496
191,0.6331392987681062
192,0.6316501962907811
193,0.608501421416001
194,0.6263706511439014
195,0.6405848111547313
196,0.6592662785975362
197,0.6435630161093814
198,0.6095844050358739
199,0.583728171111412
200,0.6454582374441586
201,0.6491133071612292
202,0.671991336131041
203,0.6397725734398267
204,0.6078245566535806
205,0.6466765940165154
206,0.6797075944226344
207,0.6351698930553675
208,0.6404494382022472
209,0.6308379585758765
210,0.6010559090293759
211,0.6472180858264519
212,0.6630567212670908
213,0.6355760119128199
214,0.6389603357249222
215,0.6095844050358739
216,0.633003925815622
217,0.666170299174225
218,0.6118857452281035
219,0.6201434953296331
220,0.6688777582239068
221,0.6319209421957492
222,0.6447813726817382
223,0.6671179098416137
224,0.6144578313253012
225,0.6339515364830107
226,0.6376066062000812
227,0.6323270610532016
228,0.6453228644916745
229,0.6293488560985515
230,0.6321916881007175
231,0.6137809665628807
232,0.6787599837552457
233,0.6538513604981725
234,0.6284012454311628
235,0.617029917422499
236,0.6465412210640314
237,0.637335860295113
238,0.6599431433599566
239,0.6350345201028834
240,0.6365236225802084
241,0.6131041018004603
242,0.6359821307702721
243,0.645864356301611
244,0.6347637741979153
245,0.6733450656558819
246,0.6499255448761337
247,0.6672532827940978
248,0.6438337620143495
249,0.6348991471503993
250,0.6297549749560037
251,0.6163530526600786
252,0.6307025856233924
253,0.630025720860972
254,0.6510085284960065
255,0.6319209421957492
256,0.6698253688912955
257,0.6205496141870854
258,0.6400433193447949
259,0.6932448896710437
260,0.6365236225802084
261,0.6206849871395695
262,0.6281304995261947
263,0.6641397048869636
264,0.6148639501827535
265,0.6071476918911601
266,0.6106673886557465
267,0.6196020035196967
268,0.6087721673209693
269,0.6407201841072154
270,0.6504670366860701
271,0.6175714092324354
272,0.6029511303641533
273,0.6277243806687424
274,0.6220387166644105
275,0.592527413022878
276,0.6405848111547313
277,0.6520915121158792
