,MOLINELLI_2013
140,0.6541889483065954
141,0.6844919786096256
142,0.26024955436720143
143,0.31016042780748665
144,0.0659536541889483
145,0.30303030303030304
146,0.035650623885918005
147,0.6898395721925134
148,0.7130124777183601
149,0.0196078431372549
150,0.6631016042780749
151,0.6595365418894831
152,0.023172905525846704
153,0.2727272727272727
154,0.6541889483065954
155,0.023172905525846704
156,0.0427807486631016
157,0.0106951871657754
158,0.6631016042780749
159,0.6274509803921569
160,0.11229946524064172
161,0.6149732620320856
162,0.023172905525846704
163,0.6310160427807486
164,0.3226381461675579
165,0.0427807486631016
166,0.2905525846702317
167,0.0196078431372549
168,0.6042780748663101
169,0.0338680926916221
170,0.27629233511586454
171,0.2905525846702317
172,0.6149732620320856
173,0.5757575757575758
174,0.6559714795008913
175,0.04634581105169341
176,0.6666666666666666
177,0.64349376114082
178,0.6167557932263814
179,0.3155080213903743
180,0.0196078431372549
181,0.696969696969697
182,0.6898395721925134
183,0.6470588235294118
184,0.6327985739750446
185,0.6238859180035651
186,0.0196078431372549
187,0.2816399286987522
188,0.23707664884135474
189,0.5864527629233511
190,0.29411764705882354
191,0.5971479500891266
192,0.6221033868092691
193,0.0196078431372549
194,0.25668449197860965
195,0.0213903743315508
196,0.25668449197860965
197,0.23707664884135474
198,0.7058823529411765
199,0.023172905525846704
200,0.6720142602495544
201,0.2905525846702317
202,0.6648841354723708
203,0.0196078431372549
204,0.012477718360071301
205,0.1800356506238859
206,0.7005347593582888
207,0.6506238859180036
208,0.06060606060606061
209,0.6488413547237076
210,0.2816399286987522
211,0.6417112299465241
212,0.012477718360071301
213,0.024955436720142603
214,0.07308377896613191
215,0.25846702317290554
216,0.30124777183600715
217,0.5864527629233511
218,0.6631016042780749
219,0.03208556149732621
220,0.040998217468805706
221,0.2816399286987522
222,0.26559714795008915
223,0.2798573975044563
224,0.0338680926916221
225,0.2887700534759358
226,0.0196078431372549
227,0.6488413547237076
228,0.058823529411764705
229,0.6666666666666666
230,0.0392156862745098
231,0.023172905525846704
232,0.6185383244206774
233,0.5846702317290553
234,0.27807486631016043
235,0.023172905525846704
236,0.6078431372549019
237,0.5561497326203209
238,0.023172905525846704
239,0.0784313725490196
240,0.6042780748663101
241,0.012477718360071301
242,0.0944741532976827
243,0.28342245989304815
244,0.2887700534759358
245,0.6720142602495544
246,0.6631016042780749
247,0.012477718360071301
248,0.33689839572192515
249,0.012477718360071301
250,0.7058823529411765
251,0.012477718360071301
252,0.5900178253119429
253,0.0784313725490196
254,0.0748663101604278
255,0.0213903743315508
256,0.1657754010695187
257,0.64349376114082
258,0.6951871657754011
259,0.24955436720142601
260,0.2816399286987522
261,0.06060606060606061
262,0.45098039215686275
263,0.714795008912656
264,0.0570409982174688
265,0.0570409982174688
266,0.0196078431372549
267,0.6399286987522281
268,0.6541889483065954
269,0.5882352941176471
270,0.17825311942959002
271,0.035650623885918005
272,0.0196078431372549
273,0.0338680926916221
274,0.6773618538324421
275,0.6060606060606061
276,0.6702317290552585
277,0.0106951871657754
278,0.26024955436720143
279,0.21390374331550802
280,0.08021390374331551
281,0.0196078431372549
282,0.058823529411764705
283,0.3226381461675579
284,0.6203208556149733
285,0.0659536541889483
286,0.25846702317290554
287,0.5828877005347594
288,0.0677361853832442
289,0.3155080213903743
290,0.3155080213903743
291,0.661319073083779
292,0.023172905525846704
293,0.6292335115864528
294,0.0427807486631016
295,0.008912655971479501
296,0.28520499108734404
297,0.3048128342245989
298,0.2798573975044563
299,0.5561497326203209
300,0.6399286987522281
301,0.18716577540106952
302,0.03208556149732621
303,0.0338680926916221
304,0.6327985739750446
305,0.6631016042780749
306,0.11764705882352941
307,0.5864527629233511
308,0.2798573975044563
309,0.31016042780748665
310,0.6417112299465241
311,0.0017825311942959
312,0.6042780748663101
313,0.07308377896613191
314,0.6363636363636364
315,0.7058823529411765
316,0.6577540106951871
317,0.0570409982174688
318,0.5757575757575758
319,0.23707664884135474
320,0.696969696969697
321,0.24777183600713013
322,0.12121212121212122
323,0.2281639928698752
324,0.5775401069518716
325,0.023172905525846704
326,0.29233511586452765
327,0.6524064171122995
328,0.2905525846702317
329,0.6292335115864528
330,0.23707664884135474
331,0.6292335115864528
332,0.24955436720142601
333,0.23172905525846701
334,0.6737967914438503
335,0.6987522281639929
336,0.6506238859180036
337,0.25133689839572193
338,0.024955436720142603
339,0.23707664884135474
340,0.6060606060606061
341,0.0196078431372549
342,0.6773618538324421
343,0.0392156862745098
344,0.03208556149732621
345,0.5864527629233511
346,0.7058823529411765
347,0.6702317290552585
348,0.6702317290552585
349,0.6399286987522281
350,0.0481283422459893
351,0.0196078431372549
352,0.0427807486631016
353,0.1711229946524064
354,0.28520499108734404
355,0.6274509803921569
356,0.035650623885918005
357,0.679144385026738
358,0.661319073083779
359,0.32976827094474154
360,0.058823529411764705
361,0.6684491978609626
362,0.012477718360071301
363,0.5864527629233511
364,0.05169340463458111
365,0.3083778966131907
366,0.26916221033868093
367,0.7005347593582888
368,0.3226381461675579
369,0.5953654188948306
370,0.012477718360071301
371,0.6399286987522281
372,0.29411764705882354
373,0.23707664884135474
374,0.024955436720142603
375,0.6506238859180036
376,0.26737967914438504
377,0.6042780748663101
378,0.6310160427807486
379,0.6399286987522281
380,0.5918003565062389
381,0.30124777183600715
382,0.6417112299465241
383,0.6987522281639929
384,0.023172905525846704
385,0.6702317290552585
386,0.6131907308377896
387,0.6809269162210339
388,0.6506238859180036
389,0.27629233511586454
390,0.6345811051693404
391,0.3048128342245989
392,0.5793226381461676
393,0.0196078431372549
394,0.0659536541889483
395,0.6060606060606061
396,0.30124777183600715
397,0.32976827094474154
398,0.0196078431372549
399,0.6042780748663101
400,0.25668449197860965
401,0.6203208556149733
402,0.25846702317290554
403,0.6274509803921569
404,0.6417112299465241
405,0.0196078431372549
406,0.6042780748663101
407,0.5561497326203209
408,0.5739750445632799
409,0.0338680926916221
410,0.2887700534759358
411,0.26737967914438504
412,0.6060606060606061
413,0.6042780748663101
414,0.6167557932263814
415,0.6827094474153298
416,0.012477718360071301
417,0.32798573975044565
418,0.0106951871657754
419,0.6631016042780749
420,0.6221033868092691
421,0.5864527629233511
422,0.3137254901960784
423,0.0338680926916221
424,0.5418894830659536
425,0.30124777183600715
426,0.012477718360071301
427,0.29233511586452765
428,0.0196078431372549
429,0.058823529411764705
430,0.26737967914438504
431,0.0338680926916221
432,0.062388591800356503
433,0.030303030303030304
434,0.5632798573975044
435,0.6238859180035651
436,0.6470588235294118
437,0.2905525846702317
438,0.6559714795008913
439,0.30303030303030304
440,0.5418894830659536
441,0.7005347593582888
442,0.2816399286987522
443,0.035650623885918005
444,0.6399286987522281
445,0.0338680926916221
446,0.0481283422459893
447,0.6987522281639929
448,0.6934046345811051
449,0.023172905525846704
450,0.29233511586452765
451,0.29590017825311943
452,0.11229946524064172
453,0.6951871657754011
454,0.7058823529411765
455,0.25846702317290554
456,0.5989304812834224
457,0.6131907308377896
458,0.6577540106951871
459,0.023172905525846704
460,0.0106951871657754
461,0.661319073083779
462,0.32976827094474154
463,0.0338680926916221
464,0.0196078431372549
465,0.6648841354723708
466,0.6185383244206774
467,0.0570409982174688
468,0.012477718360071301
469,0.0481283422459893
470,0.6203208556149733
471,0.23707664884135474
472,0.6203208556149733
473,0.19073083778966132
474,0.044563279857397504
475,0.008912655971479501
476,0.26737967914438504
477,0.0071301247771836
478,0.0196078431372549
479,0.6399286987522281
480,0.32976827094474154
481,0.0196078431372549
482,0.0338680926916221
483,0.0106951871657754
484,0.03208556149732621
485,0.6310160427807486
486,0.024955436720142603
487,0.6506238859180036
488,0.05525846702317291
489,0.5846702317290553
490,0.6185383244206774
491,0.6149732620320856
492,0.3226381461675579
493,0.6310160427807486
494,0.026737967914438502
495,0.6185383244206774
496,0.661319073083779
497,0.035650623885918005
498,0.024955436720142603
499,0.6417112299465241
500,0.2905525846702317
501,0.6399286987522281
502,0.6221033868092691
503,0.6631016042780749
504,0.28342245989304815
505,0.0196078431372549
506,0.2798573975044563
507,0.11586452762923351
508,0.2816399286987522
509,0.2798573975044563
