,KORKUT_2015A
414,0.6001082983619873
415,0.6210911059970218
416,0.6615676187897658
417,0.6466765940165154
418,0.5965886015974008
419,0.6404494382022472
420,0.6141870854203331
421,0.6529037498307838
422,0.5769595234872072
423,0.6366589955326926
424,0.6679301475565182
425,0.6259645322864492
426,0.598348449979694
427,0.6149993231352375
428,0.5957763638824963
429,0.6320563151482333
430,0.643156897251929
431,0.5887369703533234
432,0.6441045079193177
433,0.5986191958846623
434,0.6047109787464464
435,0.6010559090293759
436,0.6133748477054285
437,0.5982130770272099
438,0.5815622038716665
439,0.6145932042777853
440,0.5565182076621091
441,0.6033572492216055
442,0.6002436713144713
443,0.6076891837010965
444,0.6317855692432652
445,0.6327331799106538
446,0.6044402328414783
447,0.6631920942195749
448,0.6365236225802084
449,0.6466765940165154
450,0.6083660484635169
451,0.6148639501827535
452,0.6151346960877216
453,0.5999729254095032
454,0.637335860295113
455,0.617029917422499
456,0.5684310274807094
457,0.6187897658047922
458,0.5819683227291187
459,0.5501556788953567
460,0.6208203600920537
461,0.6156761878976581
462,0.6105320157032625
463,0.6094490320833897
464,0.645864356301611
465,0.6334100446730743
466,0.580885339109246
467,0.5646405848111548
468,0.6369297414376608
469,0.5860295113036416
470,0.6024096385542169
471,0.6250169216190605
472,0.6699607418437796
473,0.5617977528089888
474,0.6078245566535806
475,0.6455936103966428
476,0.6363882496277243
477,0.5860295113036416
478,0.5753350480573981
479,0.6361175037227562
480,0.6030865033166374
481,0.6292134831460674
482,0.6162176797075944
483,0.6537159875456884
484,0.5937457695952348
485,0.5825098145390551
486,0.682144307567348
487,0.6121564911330716
488,0.6219033437119263
489,0.618519019899824
490,0.6278597536212265
491,0.6409909300121835
492,0.5959117368349803
493,0.6030865033166374
494,0.6094490320833897
495,0.6320563151482333
496,0.5682956545282253
497,0.637335860295113
498,0.6656288073642886
499,0.607012318938676
500,0.6764586435630161
501,0.6231217002842832
502,0.6152700690402058
503,0.6223094625693787
504,0.6396372004873426
505,0.6279951265737106
506,0.6007851631244078
507,0.5877893596859347
508,0.6263706511439014
509,0.6166237985650467
510,0.5873832408284825
511,0.576688777582239
512,0.6167591715175308
513,0.628671991336131
514,0.6057939623663192
515,0.5527277649925545
516,0.5777717612021118
517,0.6596723974549885
518,0.5519155272776499
519,0.6565588195478543
520,0.6568295654528226
521,0.6294842290510356
522,0.5643698389061865
523,0.6141870854203331
524,0.618654392852308
525,0.5978069581697577
