,MOLINELLI_2013
134,0.5918003565062389
135,0.6417112299465241
136,0.6345811051693404
137,0.6292335115864528
138,0.6488413547237076
139,0.6149732620320856
140,0.6666666666666666
141,0.6149732620320856
142,0.6007130124777184
143,0.6470588235294118
144,0.6452762923351159
145,0.6381461675579323
146,0.6702317290552585
147,0.6506238859180036
148,0.6648841354723708
149,0.64349376114082
150,0.6880570409982175
151,0.6488413547237076
152,0.6702317290552585
153,0.6648841354723708
154,0.6631016042780749
155,0.5989304812834224
156,0.6185383244206774
157,0.7005347593582888
158,0.6007130124777184
159,0.6221033868092691
160,0.6185383244206774
161,0.6737967914438503
162,0.6898395721925134
163,0.6559714795008913
164,0.6648841354723708
165,0.6470588235294118
166,0.6684491978609626
167,0.6292335115864528
168,0.6755793226381461
169,0.6898395721925134
170,0.6559714795008913
171,0.6096256684491979
172,0.6185383244206774
173,0.6274509803921569
174,0.64349376114082
175,0.6007130124777184
176,0.6666666666666666
177,0.6114081996434938
178,0.6755793226381461
179,0.6577540106951871
180,0.6042780748663101
181,0.6541889483065954
182,0.6631016042780749
183,0.6720142602495544
184,0.5935828877005348
185,0.6773618538324421
186,0.6292335115864528
187,0.6488413547237076
188,0.6167557932263814
189,0.6452762923351159
190,0.6292335115864528
191,0.6238859180035651
192,0.6541889483065954
193,0.6274509803921569
194,0.6559714795008913
195,0.6755793226381461
196,0.6844919786096256
197,0.6221033868092691
198,0.64349376114082
199,0.6506238859180036
200,0.6363636363636364
201,0.6773618538324421
202,0.6559714795008913
203,0.6559714795008913
204,0.6345811051693404
205,0.6203208556149733
206,0.6488413547237076
207,0.6506238859180036
208,0.6809269162210339
209,0.6666666666666666
210,0.6470588235294118
211,0.6577540106951871
212,0.6595365418894831
213,0.6256684491978609
214,0.6203208556149733
215,0.6381461675579323
216,0.6452762923351159
217,0.6506238859180036
218,0.6898395721925134
219,0.6595365418894831
220,0.6024955436720143
221,0.6221033868092691
222,0.6559714795008913
223,0.6167557932263814
224,0.6149732620320856
225,0.6524064171122995
226,0.64349376114082
227,0.6684491978609626
228,0.6506238859180036
229,0.679144385026738
230,0.6595365418894831
231,0.6559714795008913
232,0.6452762923351159
233,0.6684491978609626
234,0.5882352941176471
235,0.6327985739750446
236,0.6167557932263814
237,0.6577540106951871
238,0.679144385026738
239,0.6470588235294118
240,0.6007130124777184
241,0.6951871657754011
242,0.6363636363636364
243,0.6541889483065954
244,0.661319073083779
245,0.6327985739750446
246,0.6737967914438503
247,0.6666666666666666
248,0.661319073083779
249,0.661319073083779
250,0.661319073083779
251,0.6310160427807486
252,0.6809269162210339
