,KORKUT_2015A
95,0.500067686476242
96,0.50859618248274
97,0.5095437931501287
98,0.5110328956274537
99,0.5030458914308921
100,0.501556788953567
101,0.4989847028563693
102,0.4953296331392988
103,0.4957357519967511
104,0.4992554487613375
105,0.4949235142818465
106,0.4974956003790443
107,0.500067686476242
108,0.4935697847570055
109,0.49384053066197375
110,0.4935697847570055
111,0.48923785027751454
112,0.49113307161229186
113,0.4834168133206985
114,0.4854474076079599
115,0.48003248950859617
116,0.48747800189522134
117,0.4846351698930554
118,0.48977934208745094
119,0.4823338297008258
120,0.4905915798023555
121,0.4805739813185326
122,0.48842561256260997
123,0.48896710437254637
124,0.49600649790171925
125,0.4896439691349668
126,0.48801949370515774
127,0.4926221740896169
128,0.4896439691349668
129,0.4858535264654122
130,0.49384053066197375
131,0.49140381751726003
132,0.49140381751726003
133,0.49790171923649656
134,0.4946527683768783
135,0.49776634628401245
136,0.4920806822796805
137,0.4966833626641397
138,0.5046703668607012
139,0.5025043996209557
140,0.4984432110464329
141,0.4980370921889806
142,0.4961418708542033
143,0.49763097333152834
144,0.5023690266684716
145,0.5098145390550968
146,0.5075131988628672
147,0.510085284960065
148,0.5080546906728036
149,0.5083254365777717
150,0.5053472316231217
151,0.5048057398131853
152,0.497089481521592
153,0.4984432110464329
154,0.4966833626641397
155,0.49546500609178284
156,0.4924868011371328
157,0.500067686476242
158,0.4920806822796805
159,0.48693651008528493
160,0.48977934208745094
161,0.49560037904426696
162,0.49424664951942604
163,0.49424664951942604
164,0.5007445512386625
165,0.5022336537159875
166,0.5046703668607012
167,0.49546500609178284
168,0.489914715039935
169,0.48531203465547584
170,0.4838229321781508
171,0.49018546094490323
172,0.48923785027751454
173,0.47597130093407336
174,0.4838229321781508
175,0.4878841207526736
176,0.49993231352375794
177,0.500067686476242
178,0.502775145525924
179,0.4969541085691079
180,0.5029105184784081
181,0.5054826045756058
182,0.5007445512386625
183,0.5060240963855421
184,0.5134696087721673
185,0.5114390144849059
186,0.507242452957899
187,0.5107621497224855
188,0.5020982807635035
189,0.5052118586706376
190,0.5118451333423581
191,0.5142818464870719
