,NELANDER_2008
123,0.455026455026455
124,0.455026455026455
125,0.455026455026455
126,0.43386243386243384
127,0.455026455026455
128,0.4708994708994709
129,0.49206349206349204
130,0.48677248677248675
131,0.4656084656084656
132,0.48677248677248675
133,0.4603174603174603
134,0.48148148148148145
135,0.5132275132275133
136,0.5396825396825397
137,0.5238095238095238
138,0.4973544973544973
139,0.48677248677248675
140,0.5185185185185185
141,0.5396825396825397
142,0.4603174603174603
143,0.48148148148148145
144,0.4708994708994709
145,0.5026455026455027
146,0.5291005291005291
147,0.4656084656084656
148,0.48677248677248675
149,0.4444444444444444
150,0.42857142857142855
151,0.4074074074074074
152,0.42857142857142855
153,0.41798941798941797
154,0.47619047619047616
155,0.4656084656084656
156,0.4603174603174603
157,0.4497354497354497
158,0.47619047619047616
159,0.5026455026455027
160,0.5185185185185185
161,0.47619047619047616
162,0.5185185185185185
163,0.5132275132275133
164,0.4973544973544973
165,0.5079365079365079
166,0.5132275132275133
167,0.5132275132275133
168,0.5238095238095238
169,0.5026455026455027
170,0.48148148148148145
171,0.5185185185185185
172,0.5079365079365079
173,0.544973544973545
174,0.5343915343915344
175,0.544973544973545
176,0.5185185185185185
177,0.5714285714285714
178,0.6402116402116402
179,0.6031746031746031
180,0.6137566137566137
181,0.6084656084656085
182,0.5555555555555556
183,0.6084656084656085
184,0.5343915343915344
185,0.5026455026455027
186,0.5185185185185185
187,0.49206349206349204
188,0.4603174603174603
189,0.4656084656084656
190,0.4603174603174603
191,0.4708994708994709
192,0.4708994708994709
193,0.47619047619047616
194,0.5238095238095238
195,0.4603174603174603
196,0.4708994708994709
197,0.455026455026455
198,0.4708994708994709
199,0.4708994708994709
200,0.48148148148148145
201,0.5238095238095238
202,0.5026455026455027
203,0.43386243386243384
204,0.49206349206349204
205,0.4497354497354497
206,0.5343915343915344
207,0.5343915343915344
208,0.5396825396825397
209,0.455026455026455
210,0.4444444444444444
211,0.47619047619047616
212,0.4444444444444444
213,0.37566137566137564
214,0.35978835978835977
215,0.35978835978835977
216,0.37037037037037035
217,0.4074074074074074
218,0.3968253968253968
219,0.38095238095238093
220,0.4973544973544973
221,0.43915343915343913
222,0.4656084656084656
223,0.4656084656084656
224,0.455026455026455
225,0.48677248677248675
226,0.5185185185185185
227,0.5555555555555556
228,0.5767195767195767
229,0.5238095238095238
230,0.5132275132275133
