	SS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
21	-1.7548004000000001	1.1965624	1.9371918999999997	-0.53463126	-2.0790461	-1.1136434	-0.80258703	1.1445151000000002	1.1448316	0.70550736	-1.9733275000000001	-0.63597444	0.82614085
22	-1.2606124	-3.4279799	-1.503418	0.74088334	-2.3017305	-1.2959133	-0.98031223	-1.5611999	-1.5607287	-1.1171972	-4.0915550000000005	-0.81163092	-4.0805542
23	-2.5200023999999996	-3.8901112999999996	0.36736759	-3.0227663	0.76397476	0.63580404	0.62222315	-0.50372612	-0.5036618	-0.34541898	-0.9833523	0.69626724	-0.9799639
24	-0.68213728	-2.676215	0.29542013	0.14089965	-2.8939067	-1.8735182000000001	-1.5572177	-0.4485173	-0.44842411	-0.30230391	-0.82478059	-1.4212816000000001	-0.82247652
25	-0.204642	-2.4637075	0.27558433	0.070600047	-0.17666095	-2.7427755	-2.4279246	-0.43353528	-0.43343362	-0.29087379	-0.78512874	-2.3997707999999998	-0.78303941
26	-0.20165659	-2.4437924	0.27352322	0.06924657	-0.16144502	0.42108119	-1.9694558999999998	-0.4319834	-0.43188146	-0.28980592	-0.78182831	-1.9373251	-0.77974365
27	-1.5841212	-3.3163989000000003	0.49398537	0.23506147	-1.9585953999999999	-0.9851711	-0.67315444	-3.8200941	-3.8201406	-3.2092711	-7.4870738	-0.48886608	-7.4729542
28	-1.5144313	-3.2299107000000005	0.33463374	0.23050735	-1.2584902	-0.71452951	-0.58241832	-0.47906209	-0.47898431	-0.32487712	-0.90327964	-0.60016631	-0.90057773
29	-2.0309938	-3.1884672999999997	2.953712	-1.7250816000000002	-0.42683114	0.088026746	0.2242321	1.4434854	1.4439511	-2.4555755	-6.6053743	0.33752924	-6.5912431
30	-1.7613316000000003	-3.1898977000000004	1.7896895	-0.65220562	-0.73517067	-0.27891714	-0.17501631	0.60948152	0.60983807	0.4034009	-2.1997948	-0.17227795	0.55352291
31	-0.88034906	-0.73197716	-2.4308904	-2.7718865000000004	1.0830616000000002	0.79692912	0.73466189	-0.81901399	-0.81888555	-0.61320949	-1.8378491999999997	0.77987487	-1.8284227
32	0.64560452	0.61598659	-3.2838230000000004	-0.12662973	-1.9035419999999998	-0.93684972	-0.62587369	0.12499032	0.12534075	0.13084412	0.26759131	-0.43842728	0.26896603
33	1.7746263	1.330782	-3.4259359	-0.30167619	2.1711792	-1.2591496000000002	-0.93885882	0.65687134	0.65729757	0.46269731	0.63757036	-0.7497745	0.64848273
34	2.7316577	1.9226929	-3.4555985000000002	-0.25415859	3.3068573	2.5228867999999998	-1.3670379	1.0758816999999998	1.0763489	0.69470735	0.81029662	-1.2634791	0.82850791
